track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,image_url
Burn,Kanye West,4,2024,2,9,"20,185",,"147,150,985",6.0,,4.0,"32,135","46,704",153,9,1,84,66,51,10,48,24,100,https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a
High Fashion (feat. Mustard),Roddy Ricch,4,2019,12,6,"113,736",65.0,"538,059,363",85.0,,13.0,"38,765","2,942,911",115,10,1,89,55,18,53,67,33,93,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f
Ronald,Falling In Reverse,3,2024,5,7,"3,463",72.0,"17,589,316",9.0,,11.0,"342,056","168,164",119,11,1,46,40,11,59,3,11,69,https://i.scdn.co/image/ab67616d0000b273cd850819595472eae0c06f66
We Paid (feat. 42 Dugg),Lil Baby,4,2020,2,28,"128,536",68.0,"417,634,388",73.0,,10.0,"68,910","1,966,892",197,0,0,20,55,91,9,47,27,53,https://i.scdn.co/image/ab67616d0000b27376a4577dd654bf457a4ad1f8
Boss Bitch,Doja Cat,3,2020,1,23,"126,275",70.0,"878,349,171",107.0,,90.0,"708,790","3,613,901",98,2,0,19,34,10,89,15,97,13,https://i.scdn.co/image/ab67616d0000b27310356a0e81371e6644cb1371
Ballena,Vulgo FK,2,2023,7,13,"28,303",66.0,"174,583,156",20.0,,23.0,"288,762","183,816",87,2,1,22,37,47,69,46,5,99,https://i.scdn.co/image/ab67616d0000b273bcc75c7c33083f8de56a4bef
one of wun,Gunna,2,2024,5,10,,,,75.0,,11.0,"1,437,678","172,720",108,4,0,67,80,100,80,25,18,96,https://i.scdn.co/image/ab67616d0000b273c67636f3021f5869095c0fc5
Locked Away (feat. Adam Levine),R. City,1,2015,6,29,"143,056",75.0,"990,518,773",101.0,,34.0,"99,938","17,627,794",184,2,1,20,66,91,86,69,11,52,https://i.scdn.co/image/ab67616d0000b2739519b1a9e2b552407e65b01a
Tal Vez,Paulo Londra,2,2019,4,3,"75,691",67.0,"751,585,271",28.0,,22.0,"75,714","1,591,441",72,8,0,20,33,98,41,36,24,5,https://i.scdn.co/image/ab67616d0000b273cf7e54f668d6a31dd6566f24
the remedy for a broken heart (why am I so in love),XXXTENTACION,4,2018,3,16,"142,939",69.0,"959,078,765",23.0,,10.0,"139,377","3,685,380",95,0,0,0,75,78,36,21,12,89,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,2,2021,3,3,"93,856",71.0,"730,200,775",156.0,,31.0,"194,403","4,208,553",160,3,1,14,87,15,91,6,80,63,https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631
Cynical,twocolors,3,2023,6,30,"20,339",41.0,"112,737,954",26.0,,43.0,"1,568,135","1,934,390",85,9,1,16,69,70,79,41,75,87,https://i.scdn.co/image/ab67616d0000b2731de9d925bee2f3feeb620945
These Words,Badger,2,2024,4,5,"9,301",78.0,"57,562,320",50.0,,47.0,"1,691,813","314,122",145,9,1,50,10,46,75,29,2,32,https://i.scdn.co/image/ab67616d0000b27300f75805e619ec91836d28f9
Robarte un Beso,Carlos Vives,1,2017,7,28,"53,101",72.0,"658,225,560",47.0,,51.0,"344,462","2,853,977",63,3,1,62,26,66,57,73,23,71,https://i.scdn.co/image/ab67616d0000b273575fb66ec11e54fb68d548a5
Vida Gangster,Lauty Gram,2,2022,12,8,"20,571",56.0,"105,604,106",,,3.0,"3,434","329,440",141,0,0,13,47,30,84,78,7,43,https://i.scdn.co/image/ab67616d0000b2735880b7d07ee4a577e0f6ffd7
For My Hand (feat. Ed Sheeran),Burna Boy,3,2022,7,1,"62,386",65.0,"264,048,274",89.0,,13.0,"83,804","2,763,102",186,1,1,58,23,75,58,5,99,33,https://i.scdn.co/image/ab67616d0000b27312ebde47882280b814275600
Cowgirls (feat. ERNEST),Morgan Wallen,3,2023,3,3,"31,680",81.0,"266,560,481",26.0,,15.0,"7,631,939","357,979",147,10,0,82,17,7,23,23,89,33,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
'Til You Can't,Cody Johnson,4,2021,6,11,"48,619",68.0,"258,769,609",37.0,,2.0,,"1,449,353",186,0,1,49,26,88,27,65,44,23,https://i.scdn.co/image/ab67616d0000b273d249311c1e8dcf6d91d35558
Those Oldies but Goodies,Little Caesar & the Romans,2,2014,7,22,42,,,,,,,,179,5,0,33,53,60,36,39,71,1,https://i.scdn.co/image/ab67616d0000b273feea58978174400fd733581d
Dark Horse,Katy Perry,3,2013,11,27,8,,,,,,,,81,2,1,5,54,43,20,14,95,7,https://i.scdn.co/image/ab67616d0000b2731e9a057052d59004caf47e22
Hass Hass,Diljit Dosanjh,1,2023,10,27,"10,191",70.0,"106,514,756",13.0,,2.0,"10,573","289,631",189,6,0,48,20,49,32,52,95,24,https://i.scdn.co/image/ab67616d0000b27374a99276badeec2675a9eaec
You Got It,Vedo,4,2020,3,6,"56,415",64.0,"378,584,974",24.0,,1.0,469,"2,143,649",90,4,0,5,58,34,1,84,0,93,https://i.scdn.co/image/ab67616d0000b2739b7e6a1ee15c55a550166e15
LDR,Shoti,1,2022,8,27,"5,646",57.0,"37,027,643",1.0,,,,"44,360",178,8,0,68,33,75,100,81,2,31,https://i.scdn.co/image/ab67616d0000b273b6b41da4800cd46634adf733
"Kaavaalaa (From ""Jailer"")",Shilpa Rao,2,2023,7,6,"5,151",61.0,"94,518,210",6.0,,,,"185,739",70,6,1,6,96,60,82,4,64,55,https://i.scdn.co/image/ab67616d0000b273ac515af787eb2080c7a0b129
Me or Sum (feat. Future & Lil Baby),Nardo Wick,2,2021,11,29,"77,071",59.0,"169,074,195",27.0,,8.0,"443,521","1,161,965",105,3,1,96,57,84,27,88,14,93,https://i.scdn.co/image/ab67616d0000b27304791a385c035c1642c80b8f
You're Welcome,Dwayne Johnson,2,2016,11,18,"57,721",66.0,"551,115,166",66.0,,6.0,"87,438","884,422",155,4,1,76,47,89,14,35,49,6,https://i.scdn.co/image/ab67616d0000b2736ec2f2b7613bc58aac0cb5c2
LA NOCHE DE ANOCHE,Bad Bunny,4,2020,11,27,"120,639",71.0,"990,189,999",134.0,,71.0,"2,794,787","1,742,777",69,4,1,50,53,54,0,73,19,47,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab
Fuk Sumn,Kanye West,3,2024,2,9,"21,002",,"120,079,689",6.0,,9.0,"77,600","173,216",187,10,0,0,17,65,27,45,2,87,https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a
Billete Grande (En Vivo),Fuerza Regida,4,2022,8,2,"30,705",68.0,"309,329,645",6.0,,2.0,"15,037","1,175,463",158,4,0,12,2,13,49,22,60,53,https://i.scdn.co/image/ab67616d0000b273c73f52d6e835d6b35e8cc33c
Royals,Lorde,1,2012,1,1,"163,195",73.0,"1,232,502,989",195.0,,128.0,"549,211","16,239,587",171,9,0,42,23,3,34,87,14,62,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98
Charm,Rema,4,2023,4,26,"35,929",65.0,"111,124,873",64.0,,19.0,"658,689","2,072,597",119,8,1,26,0,16,95,44,58,72,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
prove it,21 Savage,1,2024,1,10,"19,035",,"88,224,186",19.0,,5.0,"207,552","457,732",146,9,0,70,5,68,27,9,53,79,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347
Mon Amour - Remix,zzoilo,4,2021,8,18,"101,479",72.0,"689,939,531",73.0,,28.0,"591,846","3,833,227",124,2,0,2,18,23,8,53,59,1,https://i.scdn.co/image/ab67616d0000b273545c930fa9fada545b01f71d
Adan y Eva,Paulo Londra,3,2018,11,5,"85,897",70.0,"915,772,593",45.0,,41.0,"245,201","2,131,758",116,5,1,57,85,48,23,69,36,34,https://i.scdn.co/image/ab67616d0000b273cf7e54f668d6a31dd6566f24
No Lie,Sean Paul,1,2015,1,1,"180,669",76.0,"1,162,659,862",86.0,,58.0,"333,855","13,852,674",165,7,1,88,42,54,62,76,20,97,https://i.scdn.co/image/ab67616d0000b2732d564195ed3dd7b70d64862c
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,2,2023,5,16,"11,941",66.0,"226,109,929",20.0,,1.0,"1,097",,68,10,0,96,7,70,3,84,22,21,https://i.scdn.co/image/ab67616d0000b273bf8097b2589277bd3d8f7a2d
10 Carros,Chefin,2,2023,11,23,"13,213",,"92,949,075",,,17.0,"420,366",,81,8,1,16,68,22,55,31,98,82,https://i.scdn.co/image/ab67616d0000b27389dcaffdbf5aad2a7b0bb623
The Astronaut,JIN,4,2022,10,28,"12,509",79.0,"422,186,660",10.0,,9.0,"1,696,802","16,922,782",148,6,1,44,51,80,40,42,17,63,https://i.scdn.co/image/ab67616d0000b27343aaff780ea621da5ce4eb0a
Gogo Dance,El Alfa,2,2022,4,7,"29,662",64.0,"122,568,157",7.0,,3.0,"11,224","1,211,590",77,11,1,77,72,11,66,14,16,58,https://i.scdn.co/image/ab67616d0000b27327edd3e11256d36373938e7f
Komang,Raim Laode,1,2022,8,17,"16,110",70.0,"329,763,216",7.0,,,,"108,281",174,2,1,100,46,10,47,65,30,48,https://i.scdn.co/image/ab67616d0000b273bf96a2c302f85d2be7c98006
The Spectre,Alan Walker,2,2017,9,15,"67,602",67.0,"428,110,164",25.0,,18.0,"173,266","3,283,494",165,0,0,57,84,74,85,14,63,51,https://i.scdn.co/image/ab67616d0000b273a6a151ed88a170ae3a81eff5
ýýýýýýýýýýýýýýýýýý (feat. ýýýýýýýýý ýýýýýýýýýýýýýýý & GUNNER),Juepak,3,2024,4,6,337,,"4,399,533",3.0,,,,"15,119",74,3,0,55,27,97,57,80,47,20,https://i.scdn.co/image/ab67616d0000b273cb7500033bc6e207d7d6f857
DARARI,TREASURE,3,2022,2,15,"23,891",63.0,"224,285,122",9.0,,,,"869,565",122,5,0,53,45,100,38,19,25,11,https://i.scdn.co/image/ab67616d0000b27328be5dc3cc0bd6f2482c1d56
Ferxxo 100,Feid,4,2022,6,3,"56,678",73.0,"444,613,276",29.0,,7.0,"3,362,387","872,227",72,2,0,86,3,28,24,49,21,10,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3
No Te Quieren Conmigo,Gaby Music,1,2023,12,15,"20,215",,"138,904,532",13.0,,22.0,"2,585,657","540,710",140,0,0,87,87,61,59,5,44,53,https://i.scdn.co/image/ab67616d0000b2732a34291b34be349de3e1fa3b
More than you know,NoSpace,3,2022,7,25,5,2.0,"2,030",,,,,5,91,5,1,28,7,52,85,78,35,82,https://i.scdn.co/image/ab67616d0000b273b8061658d29c793b94882344
Shower,Becky G,3,2014,1,1,"110,573",73.0,"809,840,469",57.0,,40.0,"138,495","5,450,599",196,0,0,53,60,47,46,16,63,69,https://i.scdn.co/image/ab67616d0000b273f7f5503cfc6a54d31e65b112
B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,1,2022,6,15,"119,047",70.0,"325,902,688",90.0,,45.0,"328,312",,99,8,0,26,16,99,97,25,34,13,https://i.scdn.co/image/ab67616d0000b273eb15b994e15a3a6634d1694e
Chatak Matak,Renuka Panwar,2,2020,12,19,"1,588",54.0,"24,806,000",1.0,,,,"54,406",141,10,1,44,33,90,60,21,74,32,https://i.scdn.co/image/ab67616d0000b2730272f0d1a1d82a301ab1a2a2
Cooped Up (with Roddy Ricch),Post Malone,2,2022,5,12,"76,622",62.0,"327,011,836",38.0,,10.0,"159,166","1,443,587",136,11,1,86,19,85,83,72,90,76,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97
FRIENDS,Marshmello,4,2015,1,1,"148,480",70.0,"1,436,709,386",121.0,,65.0,"674,117","11,299,124",135,0,1,30,79,65,99,63,97,25,https://i.scdn.co/image/ab67616d0000b273569f64493ca55cd96fdee412
FINA,Bad Bunny,2,2023,10,13,"32,219",78.0,"226,576,178",31.0,,13.0,"661,964","335,905",97,5,0,35,73,99,100,75,81,13,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
Come back to me,RM,1,2024,5,10,"1,389",84.0,"44,991,905",16.0,,15.0,"621,509","58,013",130,0,1,80,33,47,26,85,26,87,https://i.scdn.co/image/ab67616d0000b2737093cd0ee6043740f73e54d9
Whatsapp (Wassam),Gunna,3,2024,5,3,"3,854",,"20,011,325",24.0,,9.0,"1,424,126","44,393",107,11,1,60,42,93,95,57,67,47,https://i.scdn.co/image/ab67616d0000b273c67636f3021f5869095c0fc5
3:15 (Breathe),Russ,2,2021,5,21,"72,865",72.0,"303,510,160",3.0,,,,"1,253,652",77,6,1,36,9,58,41,86,16,64,https://i.scdn.co/image/ab67616d0000b27347912996054fec2a1ef78035
Love Me Again,V,4,2023,8,11,"13,455",82.0,"626,153,696",7.0,,16.0,"2,070,072","377,532",98,2,0,66,93,70,51,36,69,45,https://i.scdn.co/image/ab67616d0000b2732f1a5b69c2bd76474bca8035
Down Under (feat. Colin Hay),Luude,2,2021,11,19,"125,064",60.0,"315,606,874",53.0,,16.0,"183,454","2,008,349",148,5,1,35,29,56,92,77,10,54,https://i.scdn.co/image/ab67616d0000b273aad205f4a52b5c988d86c25f
Like That (feat. Gucci Mane),Doja Cat,1,2019,11,7,"74,416",66.0,"510,302,007",69.0,,22.0,"84,411","3,413,408",121,6,1,4,24,75,47,87,4,93,https://i.scdn.co/image/ab67616d0000b273f14aa81116510d3a6df8432b
Control,Zoe Wees,4,2020,3,13,"81,641",66.0,"457,848,626",52.0,,32.0,"450,565","6,554,675",168,0,0,45,56,2,31,71,57,73,https://i.scdn.co/image/ab67616d0000b273399b7c2f3ef2a17d47a68c04
Push Up - Original Mix,Creeds,2,2022,12,21,"78,156",58.0,"83,801,298",18.0,,4.0,"9,555","2,821,192",140,0,1,78,62,80,23,89,81,73,https://i.scdn.co/image/ab67616d0000b27348dc64582941bd0b4c87f81f
Novo Balanï¿½,Veigh,4,2023,5,19,"33,493",69.0,"258,439,807",16.0,,18.0,"550,977","237,669",193,4,0,51,70,31,2,95,56,91,
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,1,2014,11,7,"163,911",71.0,"856,908,437",73.0,,68.0,"607,320","20,060,916",136,5,0,48,46,7,26,27,88,67,https://i.scdn.co/image/ab67616d0000b273f7a3a5656060030a0d24855c
Goosebumps - Remix,Travis Scott,3,2021,1,15,"142,094",70.0,"767,502,068",169.0,,96.0,"1,602,641","4,082,559",149,8,1,5,83,86,72,95,73,77,https://i.scdn.co/image/ab67616d0000b2739109b0425fb5b36284a24891
Die For You,Joji,1,2022,11,4,"74,276",71.0,"363,300,065",36.0,,6.0,"275,763","601,440",73,0,0,9,80,29,39,85,79,11,https://i.scdn.co/image/ab67616d0000b273cdd1a8a427b3f81f4f4f4f7d
SC-9,Yahir Saldivar,1,2024,2,1,"2,994",64.0,"63,296,147",2.0,,,,"472,289",154,3,1,95,2,14,22,48,73,53,https://i.scdn.co/image/ab67616d0000b273fe7068fad80697bb27f5b194
We Are Young (feat. Janelle Monï¿½ï¿½e) - feat. Janelle M,fun.,1,2011,9,20,"216,588",72.0,"1,143,172,586",135.0,,88.0,"336,269","18,822,823",113,9,1,22,45,73,6,72,73,63,
My Head & My Heart,Ava Max,1,2020,9,18,"72,376",69.0,"518,293,446",159.0,,56.0,"680,148","5,212,093",191,7,1,16,35,54,80,66,99,46,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7
Accendio,IVE,3,2024,4,29,"1,027",72.0,"12,367,963",7.0,,1.0,91,"30,525",98,9,1,83,25,37,36,88,84,36,https://i.scdn.co/image/ab67616d0000b27326cc1062ed475f238d244141
Deep End,Fousheï¿,3,2020,7,31,"76,388",56.0,"277,505,000",108.0,,36.0,"1,529,118","7,454,274",131,8,0,43,9,14,6,75,13,73,
Loosing interest,Kurochuu,4,2024,6,9,2,4.0,"43,492,280",,,,,,84,2,1,40,33,29,93,92,71,40,https://i.scdn.co/image/ab67616d0000b273649a8e2dc36fb82a7fdfa8bd
Turbo S,Yasin,2,2023,2,28,"1,764",33.0,"2,109,876",,,,,,136,10,1,14,77,45,76,66,0,26,https://i.scdn.co/image/ab67616d0000b2732274bb0d969326e03b4aaf6d
30 GRADOS RKT,RUNE,3,2024,6,8,2,,"50,652,672",,,,,,179,1,1,43,7,63,81,40,15,41,
Mi Bello Angel,Natanael Cano,3,2023,6,30,"23,359",76.0,"349,522,530",19.0,,8.0,"1,485,972","389,913",112,3,0,57,54,25,94,45,25,75,https://i.scdn.co/image/ab67616d0000b273e2e093427065eaca9e2f2970
Turks & Caicos (feat. 21 Savage),Rod Wave,2,2023,9,15,"18,919",,"79,871,904",15.0,,12.0,"58,761","289,309",190,1,0,85,90,77,21,86,48,85,https://i.scdn.co/image/ab67616d0000b27336f15d38804d5bdd29b9fc7a
Si Veo a Tu Mamï¿,Bad Bunny,3,2020,2,29,"92,013",70.0,"817,199,682",50.0,,26.0,"362,333","1,368,659",155,0,1,49,9,66,77,86,41,67,
1-800-273-8255,Logic,1,2017,4,28,"155,866",67.0,"1,332,154,389",114.0,,32.0,"229,786","6,612,245",131,11,0,51,56,35,81,54,69,28,https://i.scdn.co/image/ab67616d0000b273cfdf40cf325b609a52457805
After Hours,The Weeknd,1,2020,2,19,"146,801",75.0,"942,637,026",77.0,,25.0,"380,791","5,916,135",121,2,0,69,78,89,98,81,65,35,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Alibi (feat. Rudimental),Ella Henderson,2,2024,1,12,"7,999",,"78,096,380",56.0,,62.0,"26,160,126","886,709",65,6,1,67,100,77,16,10,52,56,https://i.scdn.co/image/ab67616d0000b2739e3b2d14dee8000a862c941e
Everybody (feat. Lil Uzi Vert),Nicki Minaj,4,2023,12,8,"20,245",,"114,947,522",24.0,,20.0,"4,484,645","713,489",91,0,1,62,85,30,18,99,8,77,https://i.scdn.co/image/ab67616d0000b273651e1dbc0b5218f2306181a1
I LUV IT (feat. Playboi Carti),Camila Cabello,4,2024,3,27,"7,391",,"78,537,688",56.0,,20.0,"2,216,295","361,969",158,1,1,57,44,77,94,25,68,11,https://i.scdn.co/image/ab67616d0000b273127aebaf8cc68fa4d07c615f
The Middle,Zedd,2,2018,1,23,"135,666",72.0,"1,503,269,550",207.0,,188.0,"371,956","8,500,939",197,0,1,22,49,39,38,71,39,44,https://i.scdn.co/image/ab67616d0000b273fbe22d168a743b782a5e856a
Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams,2,2024,3,1,"4,358",,"40,447,209",54.0,,60.0,"6,620,644","366,242",190,7,1,43,63,73,35,91,55,19,https://i.scdn.co/image/ab67616d0000b2730b33baa98ef691f09bfa23a1
Pompeii,Bastille,1,2013,1,1,"259,895",71.0,"1,590,278,292",153.0,,111.0,"467,038","14,002,280",135,4,0,82,94,72,14,81,4,44,https://i.scdn.co/image/ab67616d0000b273b89cf022db28fa31376e0ed8
Hymn For The Weekend - Seeb Remix,Coldplay,4,2015,12,4,"66,904",62.0,"652,636,187",64.0,,228.0,"416,578","2,288,631",118,7,1,94,1,45,62,12,55,22,https://i.scdn.co/image/ab67616d0000b273ac08ece7ad90165ac7d532c4
Lonely (with benny blanco),Justin Bieber,3,2020,10,16,"119,464",66.0,"820,172,575",152.0,,40.0,"1,388,976","3,795,632",90,2,1,43,44,41,28,35,71,61,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431
Hold On,Justin Bieber,1,2021,3,5,"98,447",65.0,"749,776,475",129.0,,225.0,"458,830","1,953,031",152,11,1,51,94,17,59,63,4,85,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,2,2012,10,9,"287,524",74.0,"2,397,109,372",23.0,,29.0,"149,377","29,296,074",128,6,1,66,61,99,55,50,68,33,https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d
I Like It,Cardi B,4,2018,4,6,"175,421",72.0,"1,624,314,065",331.0,,152.0,"1,207,198","53,850",111,7,1,27,13,35,39,75,51,20,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab
8 Parche,Baani Sandhu,3,2019,9,12,"9,383",58.0,"96,829,196",3.0,,,,"242,965",148,5,0,66,73,75,15,21,80,50,https://i.scdn.co/image/ab67616d0000b2736d05db2c7253b8b9cc5ef008
Modo DND,Xavi,3,2023,10,28,"11,318",,"186,482,379",2.0,,10.0,"2,327,932","316,408",186,6,1,77,93,49,32,59,72,8,https://i.scdn.co/image/ab67616d0000b2738ba8f8c74b28ef7f25ae554a
THANK GOD,Travis Scott,1,2023,7,28,"53,828",68.0,"159,483,318",14.0,,3.0,"67,246","301,658",90,11,0,17,99,60,88,1,97,73,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Home,Edith Whiskers,4,2020,10,16,"98,433",65.0,"382,143,321",7.0,,5.0,"100,685","3,370,245",143,1,1,26,14,39,15,55,32,9,https://i.scdn.co/image/ab67616d0000b2734f897f1e76b319a870384546
The London (feat. J. Cole & Travis Scott),Young Thug,4,2019,5,23,"155,380",62.0,"729,825,680",90.0,,37.0,"721,934","2,792,929",186,7,1,50,13,2,29,39,21,51,https://i.scdn.co/image/ab67616d0000b2736fcd1b6e205d0d19d9efa0cc
Si Te Pudiera Mentir,Calibre 50,2,2019,8,16,"39,746",69.0,"497,062,969",16.0,,14.0,"1,854,950","1,647,173",191,4,1,59,30,81,97,27,84,44,https://i.scdn.co/image/ab67616d0000b273ed88a900a0f56464d141906a
One Of Your Girls,Troye Sivan,4,2023,10,13,"24,491",,"222,373,201",50.0,,36.0,"1,130,992","556,768",72,6,0,73,28,6,65,76,14,51,https://i.scdn.co/image/ab67616d0000b27367103283a4eb57578a428252
Tell Em,Cochise,4,2021,5,28,"156,928",70.0,"499,262,863",22.0,,7.0,"67,108","3,065,126",104,0,1,48,26,30,43,96,64,29,https://i.scdn.co/image/ab67616d0000b273e60b56aa1e58fe76240a101b
Close Eyes,DVRST,1,2021,2,1,"118,862",70.0,"495,840,131",27.0,,4.0,"83,840","3,204,964",186,4,1,14,84,64,37,2,70,63,https://i.scdn.co/image/ab67616d0000b27311447aead485afd7c57aa042
Mr Pot Scraper,Bossman Dlow,4,2024,2,23,"3,586",,"19,565,712",16.0,,5.0,"129,440","271,898",173,0,1,82,8,94,50,62,22,96,https://i.scdn.co/image/ab67616d0000b27382ee05ec09b2e54016baf95c
LA DURANGO,Peso Pluma,3,2024,5,9,"2,684",79.0,"42,032,763",28.0,,7.0,"1,333,180","79,826",79,11,1,72,19,63,59,97,5,1,https://i.scdn.co/image/ab67616d0000b2732690127e1d6cd0aa35cc353b
Please Me,Cardi B,1,2019,2,15,"58,065",70.0,"551,035,247",42.0,,35.0,"348,557","2,677,590",140,7,1,67,98,76,17,22,83,48,https://i.scdn.co/image/ab67616d0000b273288883647008cefba0db5402
El Hijo Mayor,Junior H,1,2022,5,20,"30,881",71.0,"357,445,095",6.0,,4.0,"155,594","686,504",188,3,1,14,57,92,4,54,57,95,https://i.scdn.co/image/ab67616d0000b27322a36c3229483fbc90da4716
"Ruqya, Pt. 3",Hani Rifai,2,2014,6,9,,,,,,,,"219,794,543",76,3,1,50,78,2,39,31,25,44,https://i.scdn.co/image/ab67616d0000b273f046f39129d9f76890b2beff
LA FAMA,ROSALï¿½,4,2021,11,11,"79,169",69.0,"459,476,092",87.0,,46.0,"1,485,067","3,574,604",117,1,0,47,87,92,5,83,11,16,
TIL FURTHER NOTICE,Travis Scott,2,2023,7,28,"55,843",71.0,"133,152,051",8.0,,4.0,"113,267","478,358",131,4,1,71,48,34,75,27,76,27,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]",J Balvin,3,2021,6,18,"60,696",61.0,"347,951,927",78.0,,17.0,"1,666,687","1,143,010",168,0,1,0,56,14,11,7,76,44,https://i.scdn.co/image/ab67616d0000b273449a161a9cc8b5522549b156
LOKERA,Rauw Alejandro,1,2022,7,25,"74,344",75.0,"656,416,971",75.0,,29.0,"2,015,748","1,394,827",82,8,1,6,15,20,11,2,1,16,https://i.scdn.co/image/ab67616d0000b27377ca8a929a08890cb6c8691c
cardigan,Taylor Swift,1,2020,7,24,"94,169",80.0,"1,307,283,069",131.0,,104.0,"361,732","4,686,324",131,4,0,52,99,61,72,93,31,58,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
See You Again (feat. Kali Uchis),"Tyler, The Creator",1,2017,7,21,"283,537",84.0,"1,610,423,351",99.0,,57.0,"714,087","3,197,618",67,5,0,30,74,82,21,88,49,13,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
Namas Today - Original Version,CA3RD,3,2022,9,26,,,,,,,,,118,1,1,17,7,27,48,52,94,9,https://i.scdn.co/image/ab67616d0000b2739061c72b79371e85af02d9ab
Amanece,Anuel AA,3,2018,12,14,"80,071",77.0,"784,096,553",31.0,,8.0,"63,513","1,503,816",170,9,0,11,66,3,49,93,60,97,https://i.scdn.co/image/ab67616d0000b2736e276f2d395bedd121a03685
Popular,The Weeknd,2,2024,2,22,1,,"811,545,581",,,,,,72,9,1,47,18,12,79,28,10,77,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
King Shit,Shubh,2,2024,1,5,"4,988",71.0,"84,030,576",14.0,,2.0,"6,948","205,897",75,0,1,29,66,78,3,93,100,80,https://i.scdn.co/image/ab67616d0000b2733bf0683f6ac36cc954339d03
LA INOCENTE,Mora,2,2022,4,1,"92,256",76.0,"736,983,718",42.0,,21.0,"10,512,345","1,849,683",178,3,0,96,35,50,49,97,67,100,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3
Chicago Freestyle (feat. Giveon),Drake,4,2020,5,1,"200,270",72.0,"763,384,135",61.0,,25.0,"174,131","1,880,744",61,6,1,6,88,47,2,88,33,85,https://i.scdn.co/image/ab67616d0000b273bba7cfaf7c59ff0898acba1f
Johnny Dang (with Paul Wall & DRODi),That Mexican OT,1,2023,5,26,"42,334",68.0,"128,049,237",25.0,,1.0,"5,942","847,635",89,5,0,91,59,38,15,80,79,17,https://i.scdn.co/image/ab67616d0000b273a91cd0c87b5ee596189b8aa8
S-Class,Stray Kids,1,2023,6,2,"14,268",70.0,"207,857,363",20.0,,4.0,"41,620","452,274",162,9,0,2,35,95,13,58,94,34,https://i.scdn.co/image/ab67616d0000b273e27ba26bc14a563bf3d09882
GASLIGHT,INJI,2,2022,4,14,"8,421",48.0,"17,756,452",1.0,,,,"186,114",72,0,0,62,10,66,63,23,88,47,https://i.scdn.co/image/ab67616d0000b2735688681dffcb64e13ba96718
Die Young (feat. 347aidan),Sleepy Hallow,1,2022,5,25,"75,951",60.0,"245,406,516",12.0,,8.0,"48,742","358,116",155,0,1,5,50,93,40,37,7,57,https://i.scdn.co/image/ab67616d0000b273b61bab0113fd666ceab61615
Vente Pa' Ca,Ricky Martin,2,2016,9,22,"57,564",66.0,"613,961,293",70.0,,48.0,"223,157","4,173,066",153,7,1,94,79,57,67,27,7,17,https://i.scdn.co/image/ab67616d0000b2733d90f5938459be40b7b6652a
